ensgid	H_Cre_Ctrl_1	H_Cre_Ctrl_2	H_Cre_Ctrl_3	H_Cre_Ctrl_4	H_K2K4_DKO_1	H_K2K4_DKO_2	H_K2K4_DKO_3	H_K2K4_DKO_4
ENSMUSG00000033054.7	1103	1078	1063	1153	1510	1158	4394	1542
ENSMUSG00000032047.5	1579	1650	1608	1572	2323	1930	7769	2530
ENSMUSG00000032030.16	1512	1401	1478	1554	1970	1605	6940	2106
ENSMUSG00000064622.1	3	7	5	5	4	2	19	3
ENSMUSG00000086914.1	26	16	18	24	8	7	42	7
ENSMUSG00000055069.3	8	4	9	5	1	2	8	5
ENSMUSG00000082465.1	0	1	1	0	0	0	3	0
ENSMUSG00000111084.1	0	0	0	0	0	0	0	0
ENSMUSG00000042195.9	7	19	11	5	5	9	10	5
ENSMUSG00000042045.6	1	4	6	8	0	0	1	1
ENSMUSG00000059830.3	0	0	0	0	0	0	0	0
ENSMUSG00000041986.16	12	13	9	6	4	12	60	9
ENSMUSG00000074345.4	51	59	40	29	26	33	232	30
ENSMUSG00000111379.1	3	2	0	0	1	0	3	3
ENSMUSG00000110854.1	0	0	0	0	0	0	0	0
ENSMUSG00000032274.9	0	0	0	0	0	0	0	0
ENSMUSG00000074343.3	0	0	0	0	0	0	0	0
ENSMUSG00000046167.5	2	2	2	3	1	3	12	1
ENSMUSG00000041268.17	1306	1255	1394	1421	1151	968	3985	1151
ENSMUSG00000046460.15	1	2	2	0	1	0	0	3
ENSMUSG00000087801.1	0	0	0	0	0	0	0	0
ENSMUSG00000037493.6	15	9	5	7	12	8	36	2
ENSMUSG00000032279.11	809	786	840	948	1309	1126	4150	1384
ENSMUSG00000032281.11	8	7	7	6	8	7	19	7
ENSMUSG00000110867.1	1	0	1	0	0	0	0	0
ENSMUSG00000032285.15	626	690	1059	761	601	503	1410	616
ENSMUSG00000093441.1	6	9	16	7	6	5	12	10
ENSMUSG00000061559.15	758	782	967	859	876	751	2666	996
ENSMUSG00000032291.8	0	1	0	0	0	0	0	0
ENSMUSG00000111686.1	2	1	0	0	2	0	4	0
ENSMUSG00000032293.8	1584	1561	1749	1779	2596	2169	8486	2680
ENSMUSG00000035878.13	231	200	212	186	198	138	550	175
ENSMUSG00000044820.6	5	3	2	3	1	0	10	3
ENSMUSG00000032301.13	632	670	621	742	1193	1078	4209	1392
ENSMUSG00000035594.10	3	0	0	0	1	1	3	1
ENSMUSG00000032303.8	0	0	0	0	0	0	1	0
ENSMUSG00000035200.7	0	0	0	0	0	0	1	0
ENSMUSG00000111050.1	0	0	0	0	0	0	0	0
ENSMUSG00000111750.1	0	0	0	0	1	0	0	0
ENSMUSG00000111157.1	0	0	0	0	0	0	0	0
ENSMUSG00000110793.1	0	0	0	0	0	0	0	0
ENSMUSG00000032307.16	467	408	473	415	523	409	1681	503
ENSMUSG00000032309.15	1398	1306	1251	1132	923	654	2389	826
ENSMUSG00000032311.17	107	135	103	100	73	50	212	65
ENSMUSG00000082744.1	1	0	1	1	0	0	0	0
ENSMUSG00000032313.11	10	3	5	10	2	2	12	5
ENSMUSG00000032314.14	485	445	442	495	684	522	2140	649
ENSMUSG00000110926.1	0	0	0	0	1	0	1	0
ENSMUSG00000032318.12	2	1	1	0	0	1	4	1
ENSMUSG00000090270.1	0	0	0	1	0	0	2	0
ENSMUSG00000034007.10	1104	1062	1132	1152	1165	972	3692	1084
ENSMUSG00000064472.1	0	0	1	0	1	0	1	0
ENSMUSG00000111662.1	39	44	38	57	22	10	32	19
ENSMUSG00000050702.6	3	4	1	1	0	2	2	2
ENSMUSG00000110957.1	0	0	0	0	0	0	0	0
ENSMUSG00000110989.1	0	1	0	0	0	0	1	0
ENSMUSG00000032320.7	1507	1435	1493	1542	1894	1618	6691	1994
ENSMUSG00000032322.14	24	45	29	39	31	21	107	25
ENSMUSG00000032324.11	981	893	864	881	826	698	2892	833
ENSMUSG00000074305.9	4411	4855	5352	4653	5890	5580	21980	6108
ENSMUSG00000076281.1	0	0	0	0	0	0	0	0
ENSMUSG00000099543.1	26	18	32	29	39	41	109	26
ENSMUSG00000097111.1	33	33	38	33	56	39	175	30
ENSMUSG00000102617.1	42	34	46	39	51	39	150	49
ENSMUSG00000102419.1	175	157	161	170	271	179	926	237
ENSMUSG00000032329.4	1184	1254	1284	1293	1149	787	2872	994
ENSMUSG00000118653.1	3	4	0	4	7	3	9	3
ENSMUSG00000111343.1	52	43	31	23	24	19	91	23
ENSMUSG00000110821.1	0	0	0	0	0	0	1	0
ENSMUSG00000111201.1	0	1	0	0	0	0	0	0
ENSMUSG00000097870.2	0	0	1	1	0	0	5	0
ENSMUSG00000049556.5	2	5	6	3	1	6	14	5
ENSMUSG00000111037.1	2	2	1	0	1	1	0	0
ENSMUSG00000045620.7	0	1	0	2	0	0	2	0
ENSMUSG00000032911.6	2151	2466	2215	1707	1577	1633	6929	1611
ENSMUSG00000110888.1	13	3	15	7	9	7	50	5
ENSMUSG00000032733.6	1522	1610	1441	1272	1593	1406	5897	1524
ENSMUSG00000111629.1	0	0	0	1	0	0	4	0
ENSMUSG00000110930.1	0	0	0	0	0	0	1	0
ENSMUSG00000032288.9	496	609	472	443	612	515	2051	577
ENSMUSG00000055334.4	139	171	165	172	229	163	590	198
ENSMUSG00000032290.7	871	894	811	907	1624	2100	9100	1984
ENSMUSG00000074284.6	19	15	19	18	30	42	183	50
ENSMUSG00000042557.14	2374	2473	2482	2467	2758	2355	9044	2695
ENSMUSG00000086728.2	57	50	63	38	54	51	175	48
ENSMUSG00000032295.15	1568	1605	1449	1163	1198	1193	5466	1277
ENSMUSG00000032298.13	185	146	155	123	198	171	854	243
ENSMUSG00000032299.10	307	319	275	222	338	280	1469	352
ENSMUSG00000100282.1	0	0	0	0	0	0	1	0
ENSMUSG00000070298.6	24	21	43	30	40	27	243	47
ENSMUSG00000032300.7	455	479	601	510	785	1230	6170	1162
ENSMUSG00000111457.1	1	0	0	0	0	0	0	0
ENSMUSG00000066626.5	1	0	0	1	0	1	3	0
ENSMUSG00000063849.6	292	293	258	259	212	182	898	195
ENSMUSG00000040722.7	268	237	212	245	648	608	3043	777
ENSMUSG00000111380.1	0	3	0	1	0	0	0	1
ENSMUSG00000111414.1	1	0	0	0	0	1	1	0
ENSMUSG00000074280.6	4	3	2	5	12	8	40	10
ENSMUSG00000062309.8	0	2	1	1	1	1	1	1
ENSMUSG00000000088.7	254	185	215	246	313	248	1041	330
ENSMUSG00000097445.1	42	27	45	59	25	30	119	43
ENSMUSG00000032305.15	1170	1210	1068	996	834	707	2554	858
ENSMUSG00000032306.14	347	367	298	380	385	322	1240	443
ENSMUSG00000040188.10	721	773	686	706	1126	1252	5796	1333
ENSMUSG00000032308.9	279	249	256	251	241	181	802	243
ENSMUSG00000039714.9	1	4	8	3	6	2	16	3
ENSMUSG00000056271.13	4	10	5	2	10	1	25	4
ENSMUSG00000032312.7	856	999	898	651	813	799	3112	877
ENSMUSG00000032310.4	1	0	0	1	1	0	1	0
ENSMUSG00000032315.6	415	287	180	392	11	3	15	2
ENSMUSG00000038957.13	909	925	938	753	716	609	2408	663
ENSMUSG00000032316.8	1574	1705	1719	1451	1594	1423	6256	1658
ENSMUSG00000091908.7	2	2	4	5	2	0	3	1
ENSMUSG00000004661.15	129	133	111	125	88	90	346	88
ENSMUSG00000055720.10	260	264	256	225	245	275	1148	308
ENSMUSG00000038264.8	7904	10375	8169	5696	8309	10572	42816	10231
ENSMUSG00000097604.1	4	12	8	3	2	3	14	2
ENSMUSG00000032323.13	5	5	5	7	4	4	15	4
ENSMUSG00000037716.15	2	1	1	1	2	0	1	0
ENSMUSG00000086624.1	5	3	0	1	0	1	13	5
ENSMUSG00000032327.14	38	35	31	24	2	1	1	4
ENSMUSG00000085753.1	0	0	0	0	0	0	0	0
ENSMUSG00000037206.15	162	182	194	165	63	71	345	60
ENSMUSG00000110969.1	0	0	0	0	0	0	1	0
ENSMUSG00000051243.14	35	57	29	23	8	7	42	11
ENSMUSG00000057818.8	5	3	11	9	6	4	17	3
ENSMUSG00000036986.16	1163	1123	1140	1000	1296	1010	3720	1249
ENSMUSG00000098886.1	0	0	0	0	0	0	0	0
ENSMUSG00000032333.6	479	521	418	357	378	365	1617	420
ENSMUSG00000032334.10	68	118	70	95	86	122	638	99
ENSMUSG00000036244.5	3	2	2	0	1	1	1	1
ENSMUSG00000100487.1	0	0	0	0	0	0	0	0
ENSMUSG00000097651.2	0	0	0	0	0	0	0	0
ENSMUSG00000066607.5	32	24	25	20	6	9	42	10
ENSMUSG00000035914.11	105	106	105	120	432	448	2131	555
ENSMUSG00000103486.1	0	0	0	1	1	2	6	2
ENSMUSG00000032336.17	4883	4861	5020	4735	5394	4167	17027	5282
ENSMUSG00000074269.10	40	40	53	43	41	31	180	39
ENSMUSG00000093473.1	0	0	0	1	0	0	0	0
ENSMUSG00000032338.9	22	30	27	25	4	4	30	2
ENSMUSG00000032340.8	1612	1502	1660	1613	1144	911	3308	1127
ENSMUSG00000111846.1	6	2	2	4	4	2	9	4
ENSMUSG00000066592.3	0	0	0	0	1	0	4	0
ENSMUSG00000110789.1	1	0	0	1	0	0	1	0
ENSMUSG00000025236.11	913	1013	959	864	1284	1024	4062	1425
ENSMUSG00000025235.8	343	325	298	310	307	249	968	289
ENSMUSG00000025234.11	2762	2853	2998	3005	4280	3517	13976	4360
ENSMUSG00000090516.1	37	24	50	35	28	26	104	24
ENSMUSG00000111852.1	1	0	0	0	0	0	1	0
ENSMUSG00000049526.8	0	2	5	2	5	5	39	7
ENSMUSG00000025232.8	1229	1195	1086	1075	1384	1055	4229	1400
ENSMUSG00000032297.11	1	0	0	1	0	0	1	0
ENSMUSG00000025237.16	1310	1185	1265	1248	1307	964	3906	1200
ENSMUSG00000032294.17	2996	2962	2864	2305	6009	7913	33906	7502
ENSMUSG00000111394.1	795	688	807	825	1429	1836	8282	1608
ENSMUSG00000074259.10	4	0	1	4	0	1	4	2
ENSMUSG00000051705.13	31	22	36	46	43	19	46	45
ENSMUSG00000039585.15	3015	2778	2933	2883	3794	3074	11561	3690
ENSMUSG00000087239.1	6	0	4	4	1	1	6	6
ENSMUSG00000110803.1	23	14	15	24	14	22	79	24
ENSMUSG00000085116.1	1	6	5	4	2	4	18	4
ENSMUSG00000111833.1	0	2	1	1	0	2	8	1
ENSMUSG00000032292.8	5	2	4	0	1	1	4	1
ENSMUSG00000084913.3	0	1	1	0	2	0	1	0
ENSMUSG00000084847.7	2	2	3	1	0	0	2	0
ENSMUSG00000032289.15	597	460	499	326	300	351	1570	299
ENSMUSG00000088090.1	2	2	0	2	0	0	2	0
ENSMUSG00000111296.1	0	0	0	2	1	0	3	0
ENSMUSG00000111065.1	13	12	7	9	5	8	15	4
ENSMUSG00000088550.1	1	1	0	1	0	0	1	0
ENSMUSG00000111761.1	91	90	96	70	54	31	162	45
ENSMUSG00000111809.1	1	1	0	7	0	0	1	0
ENSMUSG00000111667.1	4	4	8	8	0	2	5	1
ENSMUSG00000111512.1	7	5	10	24	2	0	9	0
ENSMUSG00000047766.15	487	469	496	463	876	811	3221	897
ENSMUSG00000034839.5	8	3	6	6	2	5	22	10
ENSMUSG00000095956.2	3	6	6	2	7	11	83	14
ENSMUSG00000034485.10	4020	4031	4713	3747	5067	4534	19443	5143
ENSMUSG00000052143.8	124	157	178	112	178	161	772	218
ENSMUSG00000111444.1	0	0	0	1	1	0	1	0
ENSMUSG00000111290.1	0	1	3	1	0	1	9	2
ENSMUSG00000111147.1	1	5	2	0	6	4	12	6
ENSMUSG00000111180.1	0	0	0	0	0	0	1	0
ENSMUSG00000111169.1	1	0	1	0	0	0	0	0
ENSMUSG00000111354.1	0	0	0	0	0	0	0	0
ENSMUSG00000111807.1	0	0	0	0	0	0	0	0
ENSMUSG00000110998.1	0	1	1	1	0	0	1	0
ENSMUSG00000111449.1	1	0	1	0	2	1	8	1
ENSMUSG00000111658.1	2	1	1	1	0	0	0	0
ENSMUSG00000074256.3	7	19	12	11	11	9	27	6
ENSMUSG00000032280.16	1684	2229	2216	1630	1691	1637	6934	1807
ENSMUSG00000111033.1	0	3	1	0	1	0	2	1
ENSMUSG00000111635.1	1	0	0	0	0	0	0	1
ENSMUSG00000111381.1	0	1	0	1	0	0	1	1
ENSMUSG00000111739.1	0	0	0	0	0	0	0	0
ENSMUSG00000110968.1	0	0	0	0	0	0	1	0
ENSMUSG00000007892.8	1520	2047	1645	947	1155	1276	6359	1437
ENSMUSG00000032254.10	200	108	264	446	1233	993	2662	1540
ENSMUSG00000032278.11	96	105	113	87	57	29	123	40
ENSMUSG00000088743.1	0	0	0	0	0	0	0	0
ENSMUSG00000032252.14	2068	2430	2207	1883	1951	1569	6235	1973
ENSMUSG00000092696.1	0	0	0	0	0	0	0	0
ENSMUSG00000110826.1	0	0	0	0	0	0	1	0
ENSMUSG00000111232.1	0	0	1	1	0	0	0	0
ENSMUSG00000088986.1	0	0	0	0	0	0	0	0
ENSMUSG00000046846.4	0	0	0	0	0	0	0	1
ENSMUSG00000111193.1	6	5	7	3	1	1	6	6
ENSMUSG00000032249.14	2987	2977	2975	3121	3055	2271	8827	2822
ENSMUSG00000041729.15	1284	1312	1250	1014	1308	1403	6201	1424
ENSMUSG00000084540.1	9	3	4	7	4	8	20	9
ENSMUSG00000032243.8	26	52	35	43	21	22	109	16
ENSMUSG00000111537.1	2	3	7	2	4	2	8	0
ENSMUSG00000032244.9	1544	1511	1690	1673	2612	2202	8608	2782
ENSMUSG00000032245.12	228	264	239	221	265	268	1046	324
ENSMUSG00000074250.11	5	5	4	4	6	3	9	2
ENSMUSG00000111805.1	1	2	1	0	2	5	3	0
ENSMUSG00000032246.14	55	48	61	35	26	16	56	20
ENSMUSG00000032405.10	1469	1492	1367	1331	1443	1144	4856	1473
ENSMUSG00000064855.1	0	0	0	0	0	0	0	0
ENSMUSG00000111144.1	0	1	1	0	1	0	1	0
ENSMUSG00000111297.1	0	0	0	1	2	0	0	0
ENSMUSG00000094201.1	0	0	0	0	0	0	0	0
ENSMUSG00000022245.15	2	1	3	2	2	4	7	3
ENSMUSG00000058444.8	500	538	575	561	529	533	2143	539
ENSMUSG00000032403.8	87	101	90	101	144	110	447	144
ENSMUSG00000086539.8	4	8	7	8	2	0	10	6
ENSMUSG00000037801.13	2	3	6	0	1	1	5	3
ENSMUSG00000093137.1	0	0	0	0	0	0	0	0
ENSMUSG00000091866.1	3	2	3	5	1	0	13	1
ENSMUSG00000037257.8	563	551	496	518	561	551	2030	631
ENSMUSG00000032402.12	318	304	383	344	542	483	2262	557
ENSMUSG00000111137.1	0	0	0	0	0	0	0	0
ENSMUSG00000110768.1	1	2	4	2	1	0	8	0
ENSMUSG00000111058.1	6	2	8	2	1	2	17	2
ENSMUSG00000036867.7	1447	1359	1090	714	658	621	2888	668
ENSMUSG00000093616.1	0	0	0	0	1	0	2	0
ENSMUSG00000088988.1	0	1	0	0	0	0	0	0
ENSMUSG00000093759.1	4	4	4	0	2	1	9	0
ENSMUSG00000032401.15	0	0	0	0	1	0	0	0
ENSMUSG00000032400.18	68	45	59	120	365	309	872	460
ENSMUSG00000032399.8	9035	9234	9696	8979	11910	11350	47916	13911
ENSMUSG00000065752.1	5	4	15	5	8	7	33	9
ENSMUSG00000094411.1	0	0	0	0	0	0	0	0
ENSMUSG00000064918.2	19	7	13	11	21	17	94	24
ENSMUSG00000095868.1	8	8	8	6	13	8	36	16
ENSMUSG00000064514.1	3	3	0	4	2	0	13	4
ENSMUSG00000032398.7	315	307	339	394	469	363	1477	424
ENSMUSG00000004936.8	1719	1575	1600	1520	2259	2008	9151	2472
ENSMUSG00000093239.1	2	2	3	6	2	4	7	5
ENSMUSG00000111160.1	80	64	74	88	77	85	263	95
ENSMUSG00000035337.3	34	36	45	47	56	52	165	50
ENSMUSG00000032397.7	504	477	443	566	912	798	2949	1092
ENSMUSG00000088254.1	5	5	1	3	0	6	8	8
ENSMUSG00000032396.17	551	546	567	567	657	522	1796	590
ENSMUSG00000036466.17	664	628	881	616	516	494	1996	510
ENSMUSG00000004771.12	4952	4659	4582	4674	6089	5386	21885	6707
ENSMUSG00000104953.1	0	0	0	0	0	0	0	0
ENSMUSG00000053641.9	909	799	1058	1060	1596	1683	7462	1608
ENSMUSG00000089336.1	6	1	8	7	4	4	13	6
ENSMUSG00000034452.7	16	7	10	13	33	32	155	20
ENSMUSG00000034263.13	496	481	466	451	804	773	3034	950
ENSMUSG00000093119.1	0	0	0	0	1	0	2	0
ENSMUSG00000033629.6	990	914	909	946	1084	851	3261	1193
ENSMUSG00000032393.15	6670	6412	6469	6664	6486	5463	21119	6431
ENSMUSG00000111471.1	2	11	4	11	2	6	29	0
ENSMUSG00000032816.15	38	37	52	78	18	10	56	23
ENSMUSG00000032394.6	11	15	8	2	4	3	7	0
ENSMUSG00000032392.11	274	259	253	210	379	352	1462	457
ENSMUSG00000095738.1	9	8	7	9	15	11	43	14
ENSMUSG00000095892.1	5	2	9	3	7	7	14	6
ENSMUSG00000042254.14	160	348	83	205	88	84	565	90
ENSMUSG00000015357.10	859	923	924	880	1075	912	3675	1119
ENSMUSG00000059571.7	5	2	5	6	6	1	17	4
ENSMUSG00000111712.1	3	5	3	3	1	10	20	5
ENSMUSG00000111725.1	1	5	2	3	6	3	6	4
ENSMUSG00000110913.1	0	0	0	0	0	0	0	0
ENSMUSG00000041837.4	473	446	505	462	538	453	1890	569
ENSMUSG00000086228.3	17	26	27	21	19	29	65	12
ENSMUSG00000111092.1	14	11	14	15	9	16	51	6
ENSMUSG00000054978.3	52	49	56	29	32	22	81	28
ENSMUSG00000041696.14	1213	1092	1161	891	634	546	2190	599
ENSMUSG00000053862.6	9	9	7	19	6	5	22	1
ENSMUSG00000059183.12	215	186	200	200	254	227	950	290
ENSMUSG00000111722.1	12	16	11	10	6	4	14	6
ENSMUSG00000032388.7	731	708	810	748	1122	1199	4997	1357
ENSMUSG00000066510.5	1	2	7	4	9	12	87	12
ENSMUSG00000111818.1	4	0	1	3	2	10	40	4
ENSMUSG00000050721.9	2225	2360	3275	2351	4208	5336	23494	5287
ENSMUSG00000041064.14	27	10	23	49	211	193	551	268
ENSMUSG00000032387.15	292	259	281	220	218	162	586	195
ENSMUSG00000040652.16	1144	1466	1460	1371	1572	1481	6147	1904
ENSMUSG00000040524.9	1195	1394	1589	1428	1213	1225	4556	1263
ENSMUSG00000032386.15	585	549	555	597	896	640	2562	868
ENSMUSG00000065387.1	0	0	1	0	3	2	6	1
ENSMUSG00000079915.2	8	6	10	7	8	5	21	9
ENSMUSG00000040204.6	42	27	60	136	592	483	1128	797
ENSMUSG00000065301.1	0	0	0	0	0	1	0	0
ENSMUSG00000032384.16	1284	1313	1345	1326	1798	1660	6730	1875
ENSMUSG00000077385.1	1	1	0	2	1	3	4	3
ENSMUSG00000032383.7	436	530	489	456	785	737	3116	874
ENSMUSG00000039452.6	25	19	25	22	18	16	75	15
ENSMUSG00000032382.14	1943	2029	1974	1825	2542	2247	8802	2759
ENSMUSG00000032381.5	336	326	315	393	549	515	1953	667
ENSMUSG00000032380.9	271	333	338	335	773	620	2014	1004
ENSMUSG00000038664.16	8998	9066	8959	9042	10551	8675	35109	10377
ENSMUSG00000084437.1	5	2	1	2	3	0	10	0
ENSMUSG00000100130.1	144	152	185	149	161	124	460	161
ENSMUSG00000050503.9	288	241	288	219	181	138	531	171
ENSMUSG00000032376.12	1087	1070	1079	1165	1404	1234	5038	1538
ENSMUSG00000086387.1	31	22	20	32	44	29	132	30
ENSMUSG00000032373.15	6	7	3	2	6	7	77	8
ENSMUSG00000032375.15	556	559	446	424	417	350	1506	354
ENSMUSG00000074232.3	14	14	18	15	9	6	36	17
ENSMUSG00000092131.1	0	2	4	1	1	2	3	1
ENSMUSG00000059237.6	1	0	0	0	0	0	0	0
ENSMUSG00000053040.13	27	31	25	24	22	12	55	12
ENSMUSG00000091745.1	2	3	0	1	0	1	4	1
ENSMUSG00000036943.9	1427	1303	1365	1584	2460	2118	8699	2584
ENSMUSG00000036781.13	452	449	377	402	817	673	2900	974
ENSMUSG00000032370.8	253	253	257	253	370	328	1348	420
ENSMUSG00000089450.1	1	0	0	0	0	0	0	0
ENSMUSG00000032366.15	10999	10104	10737	10251	10758	9895	44444	11115
ENSMUSG00000111825.1	1	1	0	0	2	0	3	0
ENSMUSG00000088021.1	0	0	0	0	0	0	0	0
ENSMUSG00000111556.1	0	0	0	0	0	0	0	0
ENSMUSG00000052698.15	2120	2452	2048	1477	530	298	1184	372
ENSMUSG00000076379.2	0	2	0	0	0	0	0	0
ENSMUSG00000111412.1	15	33	23	20	3	2	13	2
ENSMUSG00000111819.1	0	0	0	0	0	0	0	0
ENSMUSG00000098937.1	0	0	0	0	0	0	0	0
ENSMUSG00000098446.1	0	0	0	0	0	0	0	0
ENSMUSG00000111272.1	1	1	1	1	0	2	0	0
ENSMUSG00000055125.7	1	1	0	2	0	0	1	1
ENSMUSG00000091956.2	0	0	0	0	0	0	1	1
ENSMUSG00000047990.6	0	0	0	0	0	0	0	0
ENSMUSG00000035284.10	3095	3086	3359	3309	3077	2400	8040	2761
ENSMUSG00000111841.1	0	0	3	2	2	0	3	1
ENSMUSG00000101345.1	0	0	0	0	0	0	0	0
ENSMUSG00000088810.1	0	0	0	0	0	0	0	0
ENSMUSG00000111562.1	0	0	0	0	0	0	0	0
ENSMUSG00000096639.1	0	0	0	0	0	0	0	0
ENSMUSG00000111303.1	0	1	0	1	0	0	0	0
ENSMUSG00000088587.1	0	0	0	0	0	0	0	0
ENSMUSG00000111404.1	0	0	0	0	0	0	0	0
ENSMUSG00000032238.17	1607	1641	1718	1713	1171	1030	4503	1037
ENSMUSG00000086648.1	11	13	12	8	7	5	22	11
ENSMUSG00000032235.15	551	547	541	604	551	385	1529	621
ENSMUSG00000111621.1	0	0	0	0	0	1	1	0
ENSMUSG00000111484.1	0	0	0	0	0	1	1	0
ENSMUSG00000062874.6	0	0	0	0	0	0	0	0
ENSMUSG00000032231.14	5363	5631	5054	4261	11274	13354	55457	14123
ENSMUSG00000093042.1	15	3	12	8	8	13	49	7
ENSMUSG00000086399.1	53	72	67	63	87	97	406	108
ENSMUSG00000111096.1	1	0	0	0	0	0	0	0
ENSMUSG00000059246.4	0	0	0	0	0	0	0	0
ENSMUSG00000097623.7	0	0	0	0	0	0	0	0
ENSMUSG00000111286.1	0	0	0	0	0	0	0	0
ENSMUSG00000101555.1	20	27	25	17	12	12	70	23
ENSMUSG00000011958.17	4340	4005	3779	4221	5940	5311	21409	6404
ENSMUSG00000033543.17	875	714	712	830	1067	1002	4012	1175
ENSMUSG00000032226.5	5	5	4	6	3	0	7	3
ENSMUSG00000111176.1	0	0	0	0	0	0	0	0
ENSMUSG00000111043.1	0	0	0	0	0	0	0	0
ENSMUSG00000032224.15	119	113	112	132	104	80	245	112
ENSMUSG00000077660.1	0	0	0	0	0	0	0	0
ENSMUSG00000032220.10	2793	2926	3101	2595	4286	3514	13795	4535
ENSMUSG00000093763.1	0	2	0	0	0	1	2	0
ENSMUSG00000032218.7	96	52	119	211	917	873	2759	1127
ENSMUSG00000032217.13	1718	1668	1787	1679	2437	2388	9421	2646
ENSMUSG00000065202.1	2	3	6	5	3	2	13	2
ENSMUSG00000088284.1	0	0	0	0	0	0	0	0
ENSMUSG00000094366.1	0	0	0	0	0	0	0	0
ENSMUSG00000064921.1	0	0	0	0	0	0	0	0
ENSMUSG00000032212.10	1835	1810	1875	2112	2367	1983	8170	2454
ENSMUSG00000042444.10	3417	3358	3313	3553	5836	5485	23096	6286
ENSMUSG00000074213.3	8	6	5	6	6	12	58	6
ENSMUSG00000054693.14	3428	3556	3678	4187	7799	7186	27408	7918
ENSMUSG00000032207.10	8	10	8	11	18	26	114	31
ENSMUSG00000087744.1	3	0	0	1	4	0	2	1
ENSMUSG00000096160.2	13	11	7	5	16	12	51	17
ENSMUSG00000111631.1	2	3	1	3	0	3	10	4
ENSMUSG00000032204.13	4	4	3	8	3	1	9	6
ENSMUSG00000111618.1	0	0	0	2	1	1	0	0
ENSMUSG00000111429.1	0	1	0	0	0	0	0	1
ENSMUSG00000013584.5	11	9	10	23	133	84	653	129
ENSMUSG00000111181.1	1	0	0	1	0	0	2	0
ENSMUSG00000032199.13	2962	2919	2760	2858	3727	2854	11320	3684
ENSMUSG00000041361.13	2098	2376	2004	2219	1937	1820	7343	1997
ENSMUSG00000111815.1	19	20	20	37	2	6	22	3
ENSMUSG00000032232.14	6105	4852	4881	4215	3892	3440	16177	3764
ENSMUSG00000099220.1	2	0	3	0	1	2	8	1
ENSMUSG00000104467.1	61	71	74	66	103	95	475	103
ENSMUSG00000032228.16	5573	5648	5714	5489	7692	7039	26664	8080
ENSMUSG00000102143.1	177	161	185	169	254	165	643	224
ENSMUSG00000102939.1	66	58	79	63	119	100	296	88
ENSMUSG00000098761.1	43	53	48	46	74	44	165	60
ENSMUSG00000104107.1	142	90	132	140	205	153	530	161
ENSMUSG00000099313.1	0	3	0	3	2	4	12	7
ENSMUSG00000104469.1	202	197	246	207	271	224	799	253
ENSMUSG00000104078.1	83	58	107	67	128	97	389	113
ENSMUSG00000104432.1	57	63	77	62	67	76	290	100
ENSMUSG00000077821.3	0	5	2	0	2	0	1	2
ENSMUSG00000102874.1	119	133	149	123	139	116	464	128
ENSMUSG00000098915.1	3	10	6	5	8	5	26	6
ENSMUSG00000084619.1	0	0	0	0	0	0	0	0
ENSMUSG00000099253.1	0	0	4	0	1	0	5	1
ENSMUSG00000061390.6	0	0	0	0	0	0	0	0
ENSMUSG00000099020.1	0	0	0	0	0	0	0	0
ENSMUSG00000099190.1	4	4	0	1	2	0	7	2
ENSMUSG00000098412.1	1	0	1	2	0	1	2	0
ENSMUSG00000089530.1	0	0	0	0	0	0	5	0
ENSMUSG00000098340.1	1	0	0	0	0	0	0	0
ENSMUSG00000038535.17	1998	1871	2041	1932	2157	1815	7006	2184
ENSMUSG00000098492.1	5	9	11	10	12	5	28	1
ENSMUSG00000098893.1	5	4	1	5	3	4	16	1
ENSMUSG00000102225.1	50	37	37	49	53	47	143	40
ENSMUSG00000103133.1	43	63	48	48	51	37	172	54
ENSMUSG00000103388.1	29	35	27	29	36	23	91	32
ENSMUSG00000097211.2	0	0	0	0	0	0	2	1
ENSMUSG00000102925.1	0	0	1	0	0	2	4	1
ENSMUSG00000098959.1	0	0	0	0	0	0	0	0
ENSMUSG00000098801.1	0	1	0	0	0	0	0	0
ENSMUSG00000099019.1	1	0	0	0	0	0	1	0
ENSMUSG00000032221.14	26	18	42	58	115	93	212	131
ENSMUSG00000103445.1	7	14	10	4	18	11	31	24
ENSMUSG00000098778.1	0	0	0	0	0	0	0	0
ENSMUSG00000090626.9	49	46	65	99	82	54	223	67
ENSMUSG00000095555.2	0	0	0	0	0	0	0	0
ENSMUSG00000096986.2	3	3	2	3	0	0	4	2
ENSMUSG00000037674.15	782	834	869	926	1197	1067	4250	1333
ENSMUSG00000099310.1	7	2	2	4	1	2	16	4
ENSMUSG00000102672.1	20	10	20	17	43	32	80	21
ENSMUSG00000098275.1	7	10	23	15	21	11	44	10
ENSMUSG00000099051.1	8	4	5	3	3	3	13	15
ENSMUSG00000098573.1	0	0	0	0	0	0	0	0
ENSMUSG00000064735.1	0	0	0	0	0	0	1	0
ENSMUSG00000032216.15	22624	20943	22206	21732	31990	26230	103495	33300
ENSMUSG00000104273.1	176	112	114	182	100	77	305	125
ENSMUSG00000102573.1	174	159	133	201	164	87	298	148
ENSMUSG00000104066.1	20	14	11	15	5	9	33	9
ENSMUSG00000102411.1	311	331	304	360	391	247	773	340
ENSMUSG00000098294.1	0	1	1	0	1	1	1	0
ENSMUSG00000036030.9	24	18	33	33	22	16	41	14
