ensgid	H_Cre_Ctrl_1	H_Cre_Ctrl_2	H_Cre_Ctrl_3	H_Cre_Ctrl_4	H_K2K4_DKO_1	H_K2K4_DKO_2	H_K2K4_DKO_3	H_K2K4_DKO_4
ENSMUSG00000043760.16	0	0	0	0	0	0	1	1
ENSMUSG00000104095.1	0	0	0	0	0	0	1	0
ENSMUSG00000089914.2	0	0	0	0	0	0	0	0
ENSMUSG00000090142.2	0	0	0	0	0	0	0	0
ENSMUSG00000070175.1	0	0	0	0	0	0	0	0
ENSMUSG00000099906.2	0	0	0	0	0	1	0	0
ENSMUSG00000065559.1	0	0	0	0	0	0	0	0
ENSMUSG00000065480.1	0	0	0	0	0	0	0	0
ENSMUSG00000025929.4	0	0	0	1	0	1	0	0
ENSMUSG00000041872.9	1	0	4	2	4	2	6	8
ENSMUSG00000041859.10	909	905	942	1043	2064	1958	5480	2901
ENSMUSG00000099714.1	0	0	0	0	1	0	0	0
ENSMUSG00000102121.1	0	0	0	0	0	0	0	0
ENSMUSG00000088858.1	0	0	0	0	0	0	0	0
ENSMUSG00000097934.1	4	5	5	1	0	3	6	4
ENSMUSG00000025931.15	547	573	541	508	385	330	1072	451
ENSMUSG00000077314.1	0	0	0	1	2	2	2	0
ENSMUSG00000100929.1	2	2	1	2	1	1	2	1
ENSMUSG00000041809.5	60	59	55	47	55	44	155	50
ENSMUSG00000041779.5	705	695	782	767	1516	1152	4341	1424
ENSMUSG00000099971.1	0	2	0	1	0	1	5	1
ENSMUSG00000100819.1	1	1	4	4	2	0	2	0
ENSMUSG00000025933.15	51	48	51	46	29	28	102	22
ENSMUSG00000102633.1	3	2	2	4	0	0	7	2
ENSMUSG00000025934.15	22	39	36	43	18	17	123	27
ENSMUSG00000099343.1	0	1	0	2	0	0	1	0
ENSMUSG00000096375.2	0	0	0	0	0	0	1	0
ENSMUSG00000025936.15	2	3	3	13	6	2	11	7
ENSMUSG00000093963.1	0	0	1	0	0	0	0	0
ENSMUSG00000067750.3	0	0	0	0	1	0	0	0
ENSMUSG00000086194.1	0	0	0	0	0	0	0	0
ENSMUSG00000094436.1	0	0	0	0	0	0	0	0
ENSMUSG00000041722.7	0	0	0	0	0	0	1	0
ENSMUSG00000085507.1	0	0	0	0	0	0	0	0
