ensgid	CRE_1_S1	CRE_2_S2	CRE_3_S3	CRE_4_S4	DKO_1_S5	DKO_2_S6	DKO_3_S7	DKO_4_S8
ENSMUSG00000000982.5	63	54	71	35	61	113	196	85
ENSMUSG00000000983.13	0	0	0	0	8	2	1	1
ENSMUSG00000001014.6	0	0	0	0	0	0	0	0
ENSMUSG00000001016.12	1008	1163	1065	909	1697	1708	2206	2758
ENSMUSG00000001017.15	3309	3570	3602	3102	2781	3578	3552	4199
ENSMUSG00000001018.15	936	1010	996	907	742	727	678	918
ENSMUSG00000001020.8	1	2	0	2	2	9	5	8
ENSMUSG00000001021.13	1	0	0	0	0	0	0	0
ENSMUSG00000001023.10	0	0	0	0	0	0	0	0
ENSMUSG00000001025.8	580	936	613	828	1000	987	1284	1277
ENSMUSG00000001027.7	16	27	66	25	24	32	93	79
ENSMUSG00000001029.15	8516	8328	7983	7554	5860	7185	6767	9016
ENSMUSG00000001034.17	1029	989	886	834	1484	1346	1476	1851
ENSMUSG00000001036.17	6805	6753	6896	5237	5124	5268	5639	7038
ENSMUSG00000001039.12	233	281	256	212	232	286	304	388
ENSMUSG00000001052.15	3209	3196	3195	2534	2982	3273	3890	4455
ENSMUSG00000001053.15	3808	3671	3586	3386	5408	5376	5759	7028
ENSMUSG00000001054.9	851	840	830	632	1642	1197	1701	2219
ENSMUSG00000001056.3	237	231	196	152	597	536	681	773
ENSMUSG00000001062.18	636	572	571	553	573	592	690	989
ENSMUSG00000001065.15	837	896	934	671	584	709	903	1046
ENSMUSG00000001076.7	1	0	5	0	2	0	4	0
ENSMUSG00000001082.12	719	680	622	496	826	943	1072	1361
ENSMUSG00000001089.14	10206	10113	9791	8186	6440	9245	8913	10003
ENSMUSG00000001095.5	1	3	2	2	0	6	4	3
ENSMUSG00000001098.15	5178	5483	5085	3910	4681	4475	4986	6185
ENSMUSG00000001100.10	867	976	1004	733	918	1072	1170	1398
ENSMUSG00000001103.7	1	4	3	0	16	7	2	5
ENSMUSG00000001105.15	432	473	386	389	483	470	700	726
ENSMUSG00000001119.7	1404	1888	1472	1366	1548	1554	2194	2441
ENSMUSG00000001120.15	2114	1901	2209	1531	2636	2156	3146	3914
ENSMUSG00000001123.15	3600	3527	3752	3206	6099	5179	5927	8728
ENSMUSG00000001127.12	1559	1830	1737	1308	1378	1316	1710	1975
ENSMUSG00000001128.7	98	115	118	112	134	170	208	200
ENSMUSG00000001131.11	33	33	25	29	132	173	269	221
ENSMUSG00000001134.9	98	81	82	110	151	147	159	180
ENSMUSG00000001138.13	1378	1318	1426	1034	1204	1140	1225	1565
ENSMUSG00000001143.13	596	641	605	410	372	531	531	615
ENSMUSG00000001150.7	1676	1721	1817	1566	1896	1946	2248	2525
ENSMUSG00000001151.10	2843	3257	3334	2574	2252	3085	2757	3408
ENSMUSG00000001155.13	2	4	11	3	2	0	0	0
ENSMUSG00000001156.9	963	1029	1191	861	1176	1091	1368	1576
ENSMUSG00000001157.13	626	613	576	411	654	723	762	815
ENSMUSG00000001158.13	380	350	278	223	270	304	373	469
ENSMUSG00000001166.17	51	75	62	33	29	38	35	46
ENSMUSG00000001168.16	5	1	12	1	0	0	0	4
ENSMUSG00000001173.15	921	1114	1017	781	924	953	1176	1239
ENSMUSG00000001175.16	15018	16134	16110	12712	18401	19638	21792	25386
ENSMUSG00000001211.15	3793	4008	3890	3218	3485	3797	3718	4535
ENSMUSG00000001225.12	9	18	16	12	9	3	3	17
ENSMUSG00000001227.12	1666	1565	1994	1475	2912	3095	3841	3514
ENSMUSG00000001228.14	105	51	80	66	2210	3457	2981	3663
ENSMUSG00000001229.9	1782	1753	1815	1447	2039	2342	2695	3243
ENSMUSG00000001240.13	15253	14431	15740	12975	7523	9242	7522	12354
ENSMUSG00000001247.16	66	84	90	58	36	59	67	82
ENSMUSG00000001248.15	1740	1633	1913	1416	2565	2038	3410	3784
ENSMUSG00000001249.14	40	17	58	22	52	47	68	99
ENSMUSG00000001260.10	0	0	0	0	0	0	0	0
ENSMUSG00000001270.9	793	805	699	678	262	545	591	719
ENSMUSG00000001280.13	7631	7754	8445	6544	5141	5848	5959	7129
ENSMUSG00000001281.10	140	176	205	128	43	136	114	85
ENSMUSG00000001285.12	352	424	466	372	329	413	493	604
ENSMUSG00000001288.15	3054	3148	3387	2629	1632	2064	2044	2780
ENSMUSG00000001289.12	1058	1265	1087	1008	1357	1077	1428	1767
ENSMUSG00000001300.16	27767	34235	31772	26049	56655	38603	61223	64697
ENSMUSG00000001305.5	203	217	188	216	221	299	339	327
ENSMUSG00000001313.12	315	311	298	302	141	197	221	254
ENSMUSG00000001323.17	285	357	338	266	291	246	276	327
ENSMUSG00000001333.9	18	30	17	16	23	4	17	28
ENSMUSG00000001334.9	9	5	4	8	4	16	7	15
ENSMUSG00000001348.15	5	9	9	26	35	24	20	27
ENSMUSG00000001349.5	59	116	85	82	47	75	89	108
ENSMUSG00000001366.14	976	1093	1019	833	640	848	967	1086
ENSMUSG00000001376.17	794	885	922	596	897	1108	1183	1296
ENSMUSG00000001380.7	735	771	686	636	1136	1383	1335	1533
ENSMUSG00000001383.9	700	813	787	718	806	824	761	1064
ENSMUSG00000001403.13	6	18	7	7	271	489	561	888
ENSMUSG00000001415.10	1989	2279	2092	1894	2096	2329	2546	2886
ENSMUSG00000001416.13	2312	2311	2307	2276	3294	3975	4559	5158
ENSMUSG00000001418.13	2102	2131	2128	1831	2039	1898	2288	2855
ENSMUSG00000001419.17	3072	3552	3357	2682	3778	3097	3816	4691
ENSMUSG00000001420.13	30	39	29	49	38	43	32	71
ENSMUSG00000001424.14	3309	3285	3651	2881	6639	6117	7909	8819
ENSMUSG00000001435.15	1201	1306	1121	1120	49975	20564	52456	49870
ENSMUSG00000001436.15	40	22	14	17	150	119	232	214
ENSMUSG00000001440.5	6364	6313	6296	6039	10405	12476	12602	14956
ENSMUSG00000001441.13	1874	2141	2193	1973	2097	2100	2858	3084
ENSMUSG00000001444.2	2	5	9	1	4	11	14	11
ENSMUSG00000001445.10	482	526	462	315	577	535	626	794
ENSMUSG00000001467.5	664	557	625	510	926	1263	1618	1342
ENSMUSG00000001472.17	5414	5975	5953	4440	6002	5549	6974	8864
ENSMUSG00000001473.7	324	306	315	278	2581	3313	3764	4314
ENSMUSG00000001482.15	658	621	660	544	649	753	720	1046
ENSMUSG00000001493.9	504	511	522	507	424	475	730	544
ENSMUSG00000001494.6	18	12	11	19	12	2	1	47
ENSMUSG00000001496.15	569	767	710	522	255	349	338	422
ENSMUSG00000001497.18	3	2	10	15	0	1	4	9
ENSMUSG00000001504.10	290	355	361	321	65	205	168	222
ENSMUSG00000001506.10	3533	5274	3657	3933	8788	9511	13219	13217
ENSMUSG00000001507.16	16591	14710	15819	12607	26179	18269	23770	31012
ENSMUSG00000001508.15	6	2	0	4	0	3	7	5
ENSMUSG00000001510.8	0	0	0	0	0	0	0	0
ENSMUSG00000001517.14	91	121	86	54	1311	1943	1772	2516
ENSMUSG00000001518.12	381	385	360	425	313	391	425	462
ENSMUSG00000001520.12	48	34	30	44	26	18	42	61
ENSMUSG00000001521.12	1076	1022	1038	899	1170	1321	1559	1985
ENSMUSG00000001524.14	277	330	202	234	296	302	351	405
ENSMUSG00000001525.10	14373	12078	12491	11037	22873	33797	30330	37028
ENSMUSG00000001542.7	864	957	986	705	496	463	644	606
ENSMUSG00000001552.14	30146	27656	29304	23539	16403	18916	17514	23596
ENSMUSG00000001555.10	624	600	520	561	2067	1525	2345	3090
ENSMUSG00000001558.5	3	8	8	0	2	4	2	3
ENSMUSG00000001566.9	0	0	0	0	0	0	3	0
ENSMUSG00000001569.10	758	883	726	677	609	900	825	991
ENSMUSG00000001576.15	2150	2193	2101	1812	1718	2062	2005	2245
ENSMUSG00000001583.13	206	158	205	176	144	101	172	273
ENSMUSG00000001588.12	73	69	57	43	56	51	121	155
ENSMUSG00000001604.14	82	97	101	98	39	37	37	45
ENSMUSG00000001622.15	0	0	0	0	0	4	0	0
ENSMUSG00000001627.12	2525	2575	3349	2179	1871	2630	4026	3315
ENSMUSG00000001630.13	458	530	542	481	1302	708	1290	1429
ENSMUSG00000001632.16	1809	1883	1909	1582	1952	2052	2204	2628
ENSMUSG00000001642.18	1254	1225	1236	993	1403	1569	1606	1917
ENSMUSG00000001655.6	0	0	0	0	10	0	1	0
ENSMUSG00000001656.3	0	0	0	0	3	0	0	0
ENSMUSG00000001657.7	0	0	0	6	6	2	11	2
ENSMUSG00000001661.5	0	0	0	2	4	1	4	1
ENSMUSG00000001663.10	211	260	242	213	108	174	130	182
ENSMUSG00000001665.11	104	98	102	102	58	84	83	108
ENSMUSG00000001666.8	57	39	44	38	101	90	47	72
ENSMUSG00000001670.13	6	14	10	19	18	10	7	25
ENSMUSG00000001672.14	48	34	36	34	30	41	37	42
ENSMUSG00000001674.11	920	901	915	741	626	910	1063	1147
ENSMUSG00000001687.15	5331	5770	5580	4510	3301	3926	4310	4993
ENSMUSG00000001700.10	219	241	227	145	510	322	626	705
ENSMUSG00000001707.8	227	273	190	179	213	294	428	428
ENSMUSG00000001729.14	5239	5456	5490	4561	7965	8580	9647	11697
ENSMUSG00000001739.14	128	149	164	199	92	128	113	138
ENSMUSG00000001741.12	114	133	129	113	85	78	72	76
ENSMUSG00000001750.16	1946	1783	1826	1490	2122	1957	2816	3582
ENSMUSG00000001751.9	468	370	471	345	598	640	761	793
ENSMUSG00000001755.12	449	356	349	268	546	447	562	709
ENSMUSG00000001761.7	693	759	718	583	593	785	776	917
ENSMUSG00000001763.14	6	3	1	2	5	3	9	3
ENSMUSG00000001767.5	929	1022	984	722	844	1002	1030	1411
ENSMUSG00000001768.16	8177	9795	12275	8940	3711	4850	3687	5031
