ensgid	CRE_1_S1	CRE_2_S2	CRE_3_S3	CRE_4_S4	DKO_1_S5	DKO_2_S6	DKO_3_S7	DKO_4_S8
ENSMUSG00000060073.9	1925	1959	1829	1563	2189	2656	3155	3433
ENSMUSG00000060081.1	0	0	0	0	0	0	0	0
ENSMUSG00000060084.4	0	0	0	0	0	0	0	0
ENSMUSG00000060090.16	545	570	567	419	511	559	663	775
ENSMUSG00000060093.6	76	73	116	93	459	760	608	817
ENSMUSG00000060096.5	1	5	0	1	0	2	4	3
ENSMUSG00000060098.11	390	434	382	390	558	699	680	848
ENSMUSG00000060105.2	0	0	0	0	0	0	0	0
ENSMUSG00000060112.4	0	1	0	0	0	0	0	0
ENSMUSG00000060114.4	0	0	0	0	0	0	0	0
ENSMUSG00000060121.15	160	163	152	136	155	203	213	245
ENSMUSG00000060126.14	13555	15294	14057	12755	22235	18730	26278	30171
ENSMUSG00000060128.5	1	0	0	0	0	0	0	1
ENSMUSG00000060131.11	12	26	25	14	58	59	67	24
ENSMUSG00000060143.7	182	173	192	108	274	208	369	384
ENSMUSG00000060147.15	2280	2388	2227	2004	3771	3245	4224	5519
ENSMUSG00000060149.7	226	254	206	174	174	164	202	313
ENSMUSG00000060152.14	311	336	275	249	340	329	424	583
ENSMUSG00000060161.9	0	0	0	0	0	0	0	0
ENSMUSG00000060166.6	1728	1818	1735	1326	1547	2023	1822	2496
ENSMUSG00000060170.3	0	0	0	0	0	0	0	0
ENSMUSG00000060176.4	68	62	80	68	22	54	36	47
ENSMUSG00000060177.6	0	0	0	0	0	0	0	0
ENSMUSG00000060180.12	5	5	3	8	3	7	2	0
ENSMUSG00000060181.6	362	412	381	344	193	281	343	421
ENSMUSG00000060183.6	1	0	0	0	3	0	5	2
ENSMUSG00000060187.4	0	3	0	9	0	4	0	3
ENSMUSG00000060188.6	25	26	30	19	30	50	54	50
ENSMUSG00000060198.7	1	1	1	2	11	0	3	3
ENSMUSG00000060201.5	0	0	1	0	0	0	0	0
ENSMUSG00000060204.6	0	0	0	0	0	0	0	0
ENSMUSG00000060205.3	0	0	3	2	0	2	4	0
ENSMUSG00000060206.11	1149	1218	1411	999	559	829	868	1028
ENSMUSG00000060208.5	0	0	0	0	0	0	0	0
ENSMUSG00000060212.13	29	25	46	27	24	34	18	28
ENSMUSG00000060216.15	507	505	524	290	443	477	597	828
ENSMUSG00000060224.4	48	69	67	24	127	74	140	187
ENSMUSG00000060227.15	7660	7864	8668	6685	4882	5674	6064	7494
ENSMUSG00000060240.12	0	0	0	0	0	0	3	0
ENSMUSG00000060244.1	9	14	13	20	1	11	15	7
ENSMUSG00000060245.5	0	0	0	0	0	0	0	0
ENSMUSG00000060254.7	0	0	0	0	0	0	0	0
ENSMUSG00000060256.1	0	0	0	0	0	0	0	0
ENSMUSG00000060257.2	5	0	0	0	6	5	2	1
ENSMUSG00000060260.13	2086	2192	2137	1865	865	1171	1196	1388
ENSMUSG00000060261.15	5826	5972	6413	5418	5297	5517	6266	7779
ENSMUSG00000060268.12	9	7	14	0	7	8	7	5
ENSMUSG00000060275.14	33	49	41	54	11	27	25	26
ENSMUSG00000060279.14	2048	2226	2234	1796	2912	2832	3358	4140
ENSMUSG00000060284.7	0	0	1	0	0	0	1	1
ENSMUSG00000060288.13	164	177	174	148	264	311	298	327
ENSMUSG00000060301.6	877	986	1032	787	1964	1896	2393	2672
ENSMUSG00000060303.4	0	0	0	0	0	0	0	0
ENSMUSG00000060311.11	0	0	0	0	0	13	10	5
ENSMUSG00000060314.13	27	26	30	13	37	26	46	52
ENSMUSG00000060317.9	0	0	0	0	0	0	0	0
ENSMUSG00000060332.9	0	4	3	0	0	0	0	0
ENSMUSG00000060335.2	0	0	0	0	0	0	0	0
ENSMUSG00000060336.6	71	81	118	84	80	105	125	113
ENSMUSG00000060371.12	0	0	0	1	22	22	22	25
ENSMUSG00000060373.15	4043	4123	4630	3625	4903	6105	7059	7706
ENSMUSG00000060375.2	0	0	0	0	0	0	0	0
ENSMUSG00000060376.7	140	148	146	99	167	146	111	222
ENSMUSG00000060377.4	0	3	1	1	5	0	3	5
ENSMUSG00000060380.3	0	4	0	2	0	0	1	11
ENSMUSG00000060397.6	178	196	177	199	159	158	173	235
ENSMUSG00000060402.8	10	25	12	6	5	4	4	8
ENSMUSG00000060404.3	0	0	0	0	0	0	0	0
ENSMUSG00000060407.6	0	0	0	0	0	0	0	0
ENSMUSG00000060411.3	7	23	7	2	3	5	9	13
ENSMUSG00000060412.2	0	0	0	0	0	0	0	0
ENSMUSG00000060416.2	0	1	0	0	0	0	0	0
ENSMUSG00000060417.6	1	8	7	0	5	5	0	8
ENSMUSG00000060419.8	45	50	22	33	70	75	96	110
ENSMUSG00000060424.14	0	0	0	0	0	0	2	0
ENSMUSG00000060427.15	388	454	453	306	373	361	480	653
ENSMUSG00000060429.12	3075	3296	2912	2330	1369	1689	1100	1907
ENSMUSG00000060438.5	6	1	3	10	15	18	11	4
ENSMUSG00000060441.15	154	200	221	144	72	123	139	132
ENSMUSG00000060445.11	5	10	11	5	1	1	7	8
ENSMUSG00000060450.14	1974	2117	1997	1697	2331	2556	3114	3637
ENSMUSG00000060459.14	2	0	0	0	12	0	5	0
ENSMUSG00000060461.5	0	0	0	0	0	0	0	0
ENSMUSG00000060467.4	10	13	4	4	13	19	18	11
ENSMUSG00000060469.3	0	0	0	0	0	0	0	0
ENSMUSG00000060470.7	678	568	671	516	2495	1944	3218	3601
ENSMUSG00000060475.13	1974	1980	1886	1677	2001	2002	2158	2747
ENSMUSG00000060477.14	1180	1326	1183	1064	1312	1222	1372	1409
ENSMUSG00000060480.5	0	6	10	4	0	2	5	0
ENSMUSG00000060487.7	4041	3560	3378	2759	3201	4518	4375	6079
ENSMUSG00000060491.14	0	0	0	0	0	0	0	0
ENSMUSG00000060499.7	0	0	0	3	0	3	1	0
ENSMUSG00000060503.6	0	0	0	0	0	0	0	0
ENSMUSG00000060508.16	0	2	0	0	0	0	0	0
ENSMUSG00000060509.5	2	5	0	0	7	3	9	5
ENSMUSG00000060510.14	2103	2246	2471	1911	1864	2260	2535	2759
ENSMUSG00000060512.7	42	36	39	37	66	53	71	97
ENSMUSG00000060519.11	2899	2805	3214	2315	1274	1506	1552	1884
ENSMUSG00000060523.5	0	0	0	0	0	0	0	0
ENSMUSG00000060530.2	0	1	0	0	0	1	0	0
ENSMUSG00000060534.16	0	0	0	5	3	0	3	1
ENSMUSG00000060538.14	127	158	112	146	116	154	131	213
ENSMUSG00000060548.13	159	293	210	156	51	102	92	126
ENSMUSG00000060550.16	5408	5690	4775	4004	3694	5864	4466	4596
ENSMUSG00000060556.4	0	0	0	0	0	2	2	0
ENSMUSG00000060560.8	0	0	0	0	0	0	0	0
ENSMUSG00000060565.5	0	0	0	0	0	0	0	0
ENSMUSG00000060566.4	0	2	0	0	0	0	0	0
ENSMUSG00000060568.14	1210	1119	1155	965	2040	1558	2371	2884
ENSMUSG00000060572.17	1589	1513	1569	1426	592	882	610	995
ENSMUSG00000060579.13	12	12	10	13	0	10	4	11
ENSMUSG00000060583.4	0	0	0	0	0	0	0	0
ENSMUSG00000060586.11	3023	3897	2635	2329	618	1468	1116	701
ENSMUSG00000060591.9	958	971	955	845	636	716	732	846
ENSMUSG00000060594.6	597	623	660	559	576	483	615	786
ENSMUSG00000060600.15	156	160	138	155	79	64	110	129
ENSMUSG00000060601.13	2356	2458	2438	1997	1840	1912	2059	2635
ENSMUSG00000060613.10	0	0	0	0	0	0	1	2
ENSMUSG00000060615.5	0	0	0	0	0	2	0	0
ENSMUSG00000060621.6	14	15	28	8	13	11	24	18
ENSMUSG00000060630.7	0	0	0	0	0	0	0	0
ENSMUSG00000060636.14	1493	1734	1599	1442	2177	2298	2971	3505
ENSMUSG00000060639.5	26	33	29	17	106	96	127	225
ENSMUSG00000060647.2	1	0	0	0	0	0	0	0
ENSMUSG00000060657.8	4949	5542	5856	4642	3970	4052	4697	5610
ENSMUSG00000060663.6	3	2	1	2	0	0	1	3
ENSMUSG00000060671.12	1803	1976	1959	1490	2823	2874	4040	4679
ENSMUSG00000060673.2	0	0	0	0	0	0	0	0
ENSMUSG00000060675.13	426	523	400	380	153	278	195	245
ENSMUSG00000060678.5	225	252	271	370	326	512	535	542
ENSMUSG00000060679.14	482	532	533	433	517	650	609	757
ENSMUSG00000060680.2	6	14	3	0	7	8	2	15
ENSMUSG00000060681.15	780	832	766	779	636	655	719	790
ENSMUSG00000060685.4	0	0	0	0	0	0	0	0
ENSMUSG00000060688.4	0	0	0	0	0	0	0	0
ENSMUSG00000060691.4	0	0	0	0	0	0	0	0
ENSMUSG00000060699.2	0	0	0	0	0	0	0	0
ENSMUSG00000060701.1	0	0	0	0	0	0	0	0
ENSMUSG00000060703.12	101	134	129	111	196	158	221	231
ENSMUSG00000060708.4	231	251	204	182	154	274	243	348
ENSMUSG00000060715.9	0	1	0	0	6	0	2	5
ENSMUSG00000060716.7	1170	1156	1390	978	1151	1009	1231	1621
ENSMUSG00000060724.2	0	0	0	0	0	0	0	0
ENSMUSG00000060726.10	0	0	0	0	0	0	0	0
ENSMUSG00000060727.4	21	51	27	10	15	8	33	13
ENSMUSG00000060730.8	0	0	4	0	0	0	1	0
ENSMUSG00000060733.13	1651	1954	2088	1319	2682	1901	2487	2567
ENSMUSG00000060735.4	1	0	0	0	1	4	0	5
ENSMUSG00000060738.4	0	0	0	0	0	0	0	0
ENSMUSG00000060739.8	704	740	686	663	1262	1142	1383	1537
ENSMUSG00000060742.1	0	0	0	0	0	0	0	0
ENSMUSG00000060743.12	4233	4419	4354	3626	4553	4494	6010	6975
ENSMUSG00000060747.3	0	0	0	0	0	0	0	0
ENSMUSG00000060756.5	0	0	0	0	0	0	0	0
ENSMUSG00000060759.4	0	0	0	0	0	0	0	0
ENSMUSG00000060765.8	0	0	0	0	0	0	0	0
ENSMUSG00000060771.15	326	368	404	264	314	320	354	421
ENSMUSG00000060777.4	11	9	20	8	4	12	21	16
ENSMUSG00000060780.2	0	0	0	0	0	0	0	0
ENSMUSG00000060787.9	0	0	0	0	0	0	0	0
ENSMUSG00000060791.15	561	483	585	469	440	604	452	803
ENSMUSG00000060794.8	4	6	1	13	0	7	15	5
ENSMUSG00000060795.5	1	3	0	0	4	0	1	0
ENSMUSG00000060798.7	244	234	242	169	150	192	119	169
ENSMUSG00000060802.8	28336	29694	26886	20446	17871	26982	22387	25605
ENSMUSG00000060803.6	1210	1129	1128	949	1508	1296	2163	1840
ENSMUSG00000060807.7	0	0	0	0	0	0	0	0
ENSMUSG00000060808.4	19	34	21	27	24	24	56	57
ENSMUSG00000060811.4	0	0	0	0	0	0	0	1
ENSMUSG00000060816.3	0	0	0	0	0	0	0	0
ENSMUSG00000060827.2	0	0	0	0	0	0	0	0
ENSMUSG00000060843.11	10	32	28	23	27	42	30	33
ENSMUSG00000060860.8	601	610	766	555	1162	1388	1612	2173
ENSMUSG00000060862.10	1204	1264	1167	1121	998	1144	1216	1383
ENSMUSG00000060863.12	0	0	0	0	0	0	1	4
ENSMUSG00000060878.4	2	2	9	6	0	13	10	20
ENSMUSG00000060879.3	0	0	0	0	0	0	0	0
ENSMUSG00000060882.5	2	4	4	2	3	0	2	7
ENSMUSG00000060888.4	0	0	0	0	0	0	0	0
ENSMUSG00000060890.11	21	10	35	3	0	8	10	18
ENSMUSG00000060904.14	1870	1916	1842	1601	1683	2006	2440	2485
ENSMUSG00000060913.6	0	0	0	0	6	2	10	7
ENSMUSG00000060918.2	0	0	0	0	0	0	0	0
ENSMUSG00000060923.5	72	84	63	69	101	70	148	170
ENSMUSG00000060924.15	53	59	58	39	68	112	156	99
ENSMUSG00000060935.6	805	868	853	734	1323	1226	1512	2031
ENSMUSG00000060938.14	3079	3417	2997	3126	4921	4955	6758	8085
ENSMUSG00000060950.12	165	159	119	116	156	235	220	193
ENSMUSG00000060956.4	0	0	0	0	0	0	0	0
ENSMUSG00000060961.16	247	290	321	243	127	189	170	146
ENSMUSG00000060962.12	23	26	25	23	16	22	26	24
ENSMUSG00000060967.6	0	0	0	0	0	0	0	0
ENSMUSG00000060969.9	447	477	549	519	223	387	350	398
ENSMUSG00000060974.3	0	0	0	0	0	0	0	0
ENSMUSG00000060981.7	308	406	395	390	540	744	665	630
ENSMUSG00000060985.15	9	7	2	3	0	0	4	4
ENSMUSG00000060988.12	10	20	25	39	20	17	16	30
ENSMUSG00000060989.8	0	6	1	6	1	3	4	13
ENSMUSG00000060992.9	1364	1450	1492	1200	2026	2113	2307	2797
ENSMUSG00000061000.1	0	0	0	0	0	0	0	0
ENSMUSG00000061013.6	2	4	6	7	11	0	2	1
ENSMUSG00000061022.5	0	0	0	0	0	0	0	0
ENSMUSG00000061024.8	502	549	388	422	481	554	695	754
ENSMUSG00000061028.7	1022	1067	1109	819	797	953	1080	1445
ENSMUSG00000061032.9	2406	2659	2364	2226	2407	2741	2931	3295
ENSMUSG00000061039.5	40	44	57	30	43	32	43	81
ENSMUSG00000061046.9	125	154	116	115	87	87	135	205
ENSMUSG00000061048.8	15	36	36	31	23	15	20	29
ENSMUSG00000061062.5	12	17	11	7	23	19	21	35
ENSMUSG00000061065.3	0	0	0	0	7	0	0	0
ENSMUSG00000061068.7	15	12	8	9	97	49	75	89
ENSMUSG00000061079.14	658	708	734	621	531	635	690	722
ENSMUSG00000061080.11	5	15	24	40	3	8	5	16
ENSMUSG00000061082.11	1	0	0	0	10	3	4	0
ENSMUSG00000061086.12	118	142	86	118	429	289	396	495
ENSMUSG00000061099.12	46	59	55	34	10	30	29	36
ENSMUSG00000061100.5	24	21	17	22	131	93	223	184
ENSMUSG00000061104.5	2	2	4	0	3	7	7	7
ENSMUSG00000061111.8	810	820	689	634	873	787	924	1047
ENSMUSG00000061115.4	0	1	0	0	0	0	3	1
ENSMUSG00000061118.8	122	103	114	89	87	145	117	131
ENSMUSG00000061119.7	2822	2907	2861	2297	10983	10164	12312	16064
ENSMUSG00000061126.5	23	39	58	58	15	36	38	50
ENSMUSG00000061130.13	1029	1090	1144	892	1013	1004	1225	1398
ENSMUSG00000061132.13	23	17	38	21	37	34	63	27
ENSMUSG00000061136.16	2412	2800	2717	2228	3201	3103	3897	4083
ENSMUSG00000061143.15	1168	1288	1274	1145	1732	1388	2119	2143
ENSMUSG00000061144.6	0	0	0	0	0	0	0	0
ENSMUSG00000061165.9	0	0	0	2	0	0	0	0
ENSMUSG00000061167.9	0	1	0	2	0	2	1	1
ENSMUSG00000061171.15	4	6	11	7	0	0	1	4
ENSMUSG00000061175.12	2965	2885	3412	2679	2333	2802	3734	3776
ENSMUSG00000061184.8	0	0	0	0	0	0	0	0
ENSMUSG00000061186.15	28	67	92	57	12	25	30	21
ENSMUSG00000061195.8	0	0	0	0	0	0	0	0
ENSMUSG00000061207.11	424	427	492	419	425	438	562	645
ENSMUSG00000061208.6	0	0	0	0	0	0	0	0
ENSMUSG00000061210.4	2	2	5	0	0	0	1	1
ENSMUSG00000061232.16	26844	28564	25141	23420	15341	24703	19365	22686
ENSMUSG00000061242.6	2	1	0	4	14	0	1	1
ENSMUSG00000061244.14	2364	2512	2648	1923	4037	3743	4790	5228
ENSMUSG00000061246.6	0	0	0	0	0	0	0	0
ENSMUSG00000061259.11	0	0	0	0	0	0	0	0
ENSMUSG00000061272.8	0	0	0	0	0	0	1	0
ENSMUSG00000061273.3	987	988	1010	909	901	1194	1204	1513
ENSMUSG00000061286.7	289	316	332	223	326	417	416	470
ENSMUSG00000061288.13	1494	1633	1534	1326	1057	1230	1410	1792
ENSMUSG00000061292.10	0	0	0	0	0	0	0	0
ENSMUSG00000061295.5	0	0	0	0	0	0	0	0
ENSMUSG00000061296.2	0	0	0	0	0	0	0	0
ENSMUSG00000061298.14	5	8	6	13	0	0	4	1
ENSMUSG00000061306.16	4066	4350	4412	3722	6306	6005	7431	8741
ENSMUSG00000061311.6	0	3	0	0	12	5	4	6
ENSMUSG00000061313.8	824	950	892	719	819	664	1035	1254
ENSMUSG00000061315.14	2776	2935	2752	2567	3871	4360	5108	5691
ENSMUSG00000061322.15	80	83	76	56	91	32	51	79
ENSMUSG00000061330.8	0	0	0	0	0	0	0	0
ENSMUSG00000061331.5	0	0	0	0	0	0	0	0
ENSMUSG00000061336.3	0	0	0	0	0	0	0	0
ENSMUSG00000061342.5	0	0	1	0	0	0	0	0
ENSMUSG00000061353.11	26875	28616	27511	22502	17496	21591	24125	20903
ENSMUSG00000061356.13	2	4	0	0	0	1	2	1
ENSMUSG00000061360.8	492	442	424	423	664	668	883	1033
ENSMUSG00000061361.2	0	0	0	0	0	0	0	0
ENSMUSG00000061367.3	0	0	0	0	0	0	0	0
ENSMUSG00000061371.7	128	148	137	103	104	99	145	197
ENSMUSG00000061374.14	733	637	708	542	717	740	893	1022
ENSMUSG00000061376.2	0	0	0	0	0	0	0	0
ENSMUSG00000061387.3	0	0	0	0	0	0	0	0
ENSMUSG00000061388.11	0	0	0	0	0	0	0	0
ENSMUSG00000061390.6	4	2	5	2	8	4	3	6
ENSMUSG00000061392.2	0	0	0	0	0	0	0	0
ENSMUSG00000061393.14	471	618	687	458	323	282	346	441
ENSMUSG00000061397.8	4	5	7	8	10	18	47	74
ENSMUSG00000061410.6	5596	6015	5966	5082	6532	6019	7640	9070
ENSMUSG00000061411.12	1966	2089	1806	1640	3216	3050	3522	4437
ENSMUSG00000061414.8	252	326	311	237	178	210	169	254
ENSMUSG00000061436.15	7735	8193	7727	6038	3671	4742	4589	4660
ENSMUSG00000061451.13	95	70	85	56	68	29	40	59
ENSMUSG00000061455.13	1292	1480	1500	1085	938	1087	1144	1326
ENSMUSG00000061457.3	0	0	0	0	0	0	0	0
ENSMUSG00000061458.9	650	724	675	690	770	968	983	863
ENSMUSG00000061461.11	207	187	153	140	191	167	199	281
ENSMUSG00000061462.18	146	120	149	89	27	27	55	56
ENSMUSG00000061469.3	0	0	0	0	0	0	0	0
ENSMUSG00000061474.11	69	63	68	44	80	74	87	113
ENSMUSG00000061477.4	2801	3188	2755	2763	5599	5575	7305	8981
ENSMUSG00000061479.15	579	552	520	459	988	948	1041	1286
ENSMUSG00000061482.7	977	1082	927	1043	1298	2130	1655	2135
ENSMUSG00000061486.7	0	0	0	0	1	2	0	0
ENSMUSG00000061488.5	19	18	10	17	9	15	18	18
ENSMUSG00000061489.3	0	0	0	0	0	0	0	0
ENSMUSG00000061490.6	0	0	0	0	0	0	0	0
ENSMUSG00000061510.3	7	2	5	7	30	15	11	11
ENSMUSG00000061517.8	1	7	4	12	0	9	2	0
ENSMUSG00000061518.11	586	501	519	385	758	690	910	1102
ENSMUSG00000061520.4	0	0	0	0	0	0	0	0
ENSMUSG00000061524.8	0	0	0	0	7	2	1	2
ENSMUSG00000061525.2	0	0	0	0	0	0	0	0
ENSMUSG00000061527.7	6	19	14	27	0	13	16	24
ENSMUSG00000061531.8	0	6	5	0	2	3	7	2
ENSMUSG00000061533.16	235	404	320	264	525	815	669	807
ENSMUSG00000061535.11	122	206	173	163	124	96	127	130
ENSMUSG00000061536.13	390	364	410	425	270	260	359	509
ENSMUSG00000061540.3	18	18	22	14	5	24	19	18
ENSMUSG00000061544.13	391	477	557	444	305	382	361	457
ENSMUSG00000061549.6	0	0	0	0	0	0	0	0
ENSMUSG00000061559.15	590	684	531	562	709	649	809	948
ENSMUSG00000061561.5	0	0	0	0	0	0	0	0
ENSMUSG00000061576.15	4	6	4	3	10	6	2	0
ENSMUSG00000061577.12	26	17	9	12	15	20	37	5
ENSMUSG00000061578.8	3	0	2	1	0	0	1	1
ENSMUSG00000061584.6	0	0	0	1	0	0	0	2
ENSMUSG00000061589.14	2757	2846	2576	1885	2867	3833	4627	4756
ENSMUSG00000061601.15	44	99	67	59	53	29	26	35
ENSMUSG00000061602.3	0	0	0	0	0	0	0	0
ENSMUSG00000061603.8	59	120	112	51	57	57	55	41
ENSMUSG00000061607.15	1887	1926	2089	1747	1500	2076	2165	2310
ENSMUSG00000061613.13	1103	1011	1072	911	1245	1556	1613	2050
ENSMUSG00000061614.5	0	0	0	0	0	0	0	0
ENSMUSG00000061615.2	0	2	4	0	102	166	125	266
ENSMUSG00000061616.5	0	0	2	0	0	0	1	0
ENSMUSG00000061619.3	0	0	0	2	0	3	0	0
ENSMUSG00000061626.6	0	0	0	0	0	0	0	0
ENSMUSG00000061633.3	1	0	2	0	8	0	0	4
ENSMUSG00000061637.5	0	0	0	0	0	0	0	0
ENSMUSG00000061650.6	295	317	310	280	378	384	470	559
ENSMUSG00000061653.4	0	0	0	0	0	0	0	0
ENSMUSG00000061665.7	6350	6824	6763	5231	4769	5394	5534	6673
ENSMUSG00000061666.6	818	804	860	729	1110	846	1174	1518
ENSMUSG00000061669.6	0	0	0	0	1	0	2	0
ENSMUSG00000061684.6	2	2	5	3	4	4	2	4
ENSMUSG00000061689.15	3015	3147	3069	2536	2876	2512	3171	4001
ENSMUSG00000061701.11	0	0	0	0	0	0	0	0
ENSMUSG00000061702.10	45	27	39	28	15	25	25	24
ENSMUSG00000061707.5	0	0	0	0	0	0	0	0
ENSMUSG00000061718.12	27	26	35	19	16	57	16	58
ENSMUSG00000061723.18	6	9	13	11	5	0	0	8
ENSMUSG00000061724.5	4	2	6	5	16	2	5	12
ENSMUSG00000061728.5	1	0	0	5	9	0	7	5
ENSMUSG00000061731.9	1570	1777	1715	1402	3686	2857	4421	4536
ENSMUSG00000061740.8	3309	3542	3884	2638	1404	1188	1225	1614
ENSMUSG00000061742.12	0	0	6	0	0	0	2	8
ENSMUSG00000061751.16	3082	2992	3402	2356	2993	3251	3615	4718
ENSMUSG00000061755.10	3663	4279	3933	3014	2575	2775	3043	3456
ENSMUSG00000061758.13	184	236	253	208	209	153	181	243
ENSMUSG00000061759.15	208	222	257	223	239	293	329	375
ENSMUSG00000061762.12	0	0	0	0	5	1	8	2
ENSMUSG00000061769.2	0	0	0	0	0	0	0	0
ENSMUSG00000061778.10	3436	3464	3700	2814	5017	4559	5529	6360
ENSMUSG00000061780.6	1	10	1	2	4	0	2	6
ENSMUSG00000061787.15	2437	2624	2331	2352	3865	4179	5176	6234
ENSMUSG00000061798.2	0	0	0	0	0	0	0	0
ENSMUSG00000061802.6	9	7	11	27	9	18	18	10
ENSMUSG00000061808.4	2	0	0	0	0	0	0	0
ENSMUSG00000061809.8	0	0	0	0	0	0	0	0
ENSMUSG00000061815.11	3	1	3	7	0	4	5	3
ENSMUSG00000061816.15	0	2	1	2	0	0	0	6
ENSMUSG00000061825.10	1	4	0	0	0	0	0	0
ENSMUSG00000061829.4	0	0	0	0	0	0	0	0
ENSMUSG00000061833.6	0	0	0	0	1	0	0	1
ENSMUSG00000061838.7	774	901	840	782	759	1008	923	1105
ENSMUSG00000061843.5	0	0	0	0	0	0	0	0
ENSMUSG00000061845.3	0	0	0	0	0	0	0	0
ENSMUSG00000061847.2	0	0	0	0	0	2	0	0
ENSMUSG00000061848.5	7	6	5	10	19	22	14	17
ENSMUSG00000061852.9	0	1	0	0	0	0	0	2
ENSMUSG00000061859.17	687	912	932	831	263	529	410	466
ENSMUSG00000061863.6	1	23	21	12	4	9	17	13
ENSMUSG00000061875.2	0	0	0	0	0	0	0	0
ENSMUSG00000061877.13	0	0	0	0	0	0	0	0
ENSMUSG00000061878.16	187	218	211	238	210	179	198	186
ENSMUSG00000061882.12	73	93	68	97	39	41	45	79
ENSMUSG00000061887.14	1701	1624	1841	1560	1648	1783	2112	2759
ENSMUSG00000061894.15	343	311	337	272	214	248	261	354
ENSMUSG00000061897.5	4	5	2	4	25	10	8	5
ENSMUSG00000061898.10	498	595	655	482	434	398	530	570
ENSMUSG00000061904.12	4244	4297	4241	3704	7138	6740	9094	10666
ENSMUSG00000061906.5	0	0	0	0	0	0	0	0
ENSMUSG00000061911.15	8	6	2	0	9	8	9	10
ENSMUSG00000061923.4	0	0	0	0	0	0	0	0
ENSMUSG00000061928.6	0	0	0	0	0	0	0	0
ENSMUSG00000061937.7	0	0	0	0	0	0	0	0
ENSMUSG00000061947.10	5	3	6	5	0	2	0	0
ENSMUSG00000061950.17	3506	3802	3732	3046	3593	4113	4205	5145
ENSMUSG00000061952.6	0	0	0	0	0	0	0	0
ENSMUSG00000061958.5	0	3	1	0	0	0	0	0
ENSMUSG00000061959.13	30	21	33	11	5	13	9	15
ENSMUSG00000061961.3	0	0	0	0	0	0	0	0
ENSMUSG00000061969.8	0	0	0	0	0	0	0	0
ENSMUSG00000061972.3	25	19	24	5	23	14	38	41
ENSMUSG00000061974.2	6	18	12	5	6	9	33	13
ENSMUSG00000061977.2	0	0	0	0	0	0	0	0
ENSMUSG00000061979.8	326	289	224	255	247	304	339	406
ENSMUSG00000061981.14	1867	1998	1828	1643	1835	2041	2062	2529
ENSMUSG00000061983.7	4201	4446	3601	3433	5295	5707	7717	9406
ENSMUSG00000061984.6	0	0	0	0	0	0	0	0
ENSMUSG00000061988.3	0	0	0	0	13	11	1	3
ENSMUSG00000061991.2	4	0	4	0	87	106	68	137
ENSMUSG00000061992.2	2	0	1	0	0	0	0	0
ENSMUSG00000062006.12	1705	2145	1936	1734	3284	3210	4385	4974
ENSMUSG00000062007.13	4	2	9	1	1	2	11	14
ENSMUSG00000062012.14	175	191	190	152	154	212	196	294
ENSMUSG00000062014.13	3400	4248	3978	3171	4567	4794	5323	5926
ENSMUSG00000062017.15	41	37	46	47	15	13	10	12
ENSMUSG00000062028.8	2	11	8	13	3	6	3	8
ENSMUSG00000062031.13	731	782	926	739	701	662	785	924
ENSMUSG00000062036.9	0	0	0	1	0	0	0	0
ENSMUSG00000062037.3	0	1	0	0	0	0	0	0
ENSMUSG00000062038.5	0	0	0	0	0	0	0	0
ENSMUSG00000062040.14	288	328	359	218	275	272	297	404
ENSMUSG00000062042.1	0	0	0	0	0	0	0	0
ENSMUSG00000062044.16	2	3	6	9	5	3	2	3
ENSMUSG00000062046.1	0	0	0	0	0	0	1	0
ENSMUSG00000062054.7	288	268	241	290	270	332	323	464
ENSMUSG00000062061.3	0	1	0	0	0	0	0	0
ENSMUSG00000062064.6	0	0	3	0	0	0	0	0
ENSMUSG00000062070.12	1024	939	957	897	4319	3632	5258	5215
ENSMUSG00000062073.6	0	0	1	0	0	2	0	2
ENSMUSG00000062074.7	1	4	0	0	4	0	9	19
ENSMUSG00000062075.13	512	440	423	353	774	1479	1340	1916
ENSMUSG00000062077.14	0	1	0	0	0	0	1	0
ENSMUSG00000062078.15	27807	32270	34851	24359	22342	27295	24585	29603
ENSMUSG00000062081.6	12	15	10	8	19	7	14	16
ENSMUSG00000062082.16	1	3	4	0	0	3	9	8
ENSMUSG00000062083.1	3	4	6	1	4	11	8	7
ENSMUSG00000062093.5	7	5	2	12	20	18	19	25
ENSMUSG00000062098.11	4431	4151	5107	3736	4015	3610	3887	5282
ENSMUSG00000062101.12	89	94	120	116	71	100	112	109
ENSMUSG00000062103.5	0	0	0	0	0	0	0	0
ENSMUSG00000062105.5	0	0	0	0	0	0	0	0
ENSMUSG00000062110.14	378	433	463	320	439	461	427	496
ENSMUSG00000062115.15	2542	2600	2440	2122	2165	2235	2723	3372
ENSMUSG00000062116.10	244	311	275	162	287	300	347	429
ENSMUSG00000062121.3	0	0	0	0	0	0	0	0
ENSMUSG00000062124.7	0	0	0	0	0	0	0	0
ENSMUSG00000062127.11	12797	13941	14784	11576	13529	12106	13812	16530
ENSMUSG00000062128.8	0	0	0	0	0	0	0	0
ENSMUSG00000062132.10	2	3	0	4	0	1	3	9
ENSMUSG00000062142.5	0	0	0	0	0	0	0	0
ENSMUSG00000062148.6	0	0	0	0	0	0	0	0
ENSMUSG00000062151.13	0	0	0	0	0	0	0	0
ENSMUSG00000062152.4	1	0	0	0	0	0	0	0
