A	Coef.H.DKOVsCtrl	Coef.L.DKOVsCtrl	t.H.DKOVsCtrl	t.L.DKOVsCtrl	p.value.H.DKOVsCtrl	p.value.L.DKOVsCtrl	F	F.p.value	Res.H.DKOVsCtrl	Res.L.DKOVsCtrl
ENSMUSG00000103509.1	3.19220995914752	-0.687754046095307	-0.727975791783247	-0.589781814930684	-0.603998226224497	0.281377192503865	0.276749933901279	12.5202940223584	0.000403503398380456	0	0
ENSMUSG00000061024.8	2.61577187029375	0.306349251881478	0.230280814006599	0	0	0.891094081901317	0.998863875704271	3.65358998880457	0.0468434119650721	0	0
ENSMUSG00000025911.14	2.42424987080901	-0.32070176836611	0.12317380611093	0	0	0.927351539013054	0.99251051014627	1.9612533849577	0.169933463755605	0	0
ENSMUSG00000079671.8	3.3870194116878	0.551113344370619	0.351981041073469	0	0	0.577089639523206	0.877858212411309	6.80186837727055	0.00639571749892087	0	0
ENSMUSG00000067879.3	1.61600195383444	0.491441881265692	0.197752624603851	0	0	0.674830715743242	0.984181613891258	3.63947036728514	0.0473148723249824	0	0
ENSMUSG00000025912.16	3.17758992260111	1.06752190274906	1.72839974941014	2.12014542159684	4.26106941899465	0.0241608235047158	0.000240614208600617	31.7450436055724	1.35196834183672e-06	0	1
ENSMUSG00000045210.8	6.26647728021135	0.257876183233668	0.0478028344568227	0	0	0.999981846756042	0.999999983701191	9.58986427131372	0.00149386448221266	0	0
ENSMUSG00000025915.14	5.23365534898866	-0.156480737578306	-0.23650388012155	0	0	0.999986440602232	0.999730133385565	6.1680895683974	0.00922786925532437	0	0
ENSMUSG00000046101.16	0.661200228847128	-0.163310578823824	0.453035335751675	0	0	0.972833199661446	0.686898893644384	1.75099848304796	0.202222467951739	0	0
ENSMUSG00000098234.7	2.97661709138531	0.915659510694698	1.14399651418784	3.16866507636954	3.84218316135921	0.00268752167110255	0.000607837694100877	69.411309252402	3.95605459832183e-09	1	1
ENSMUSG00000093178.1	-2.64765829505407	0.280296212205647	0.772736242194991	0	0.225208797462307	0.800853010769847	0.472664912485396	0.700840206296551	0.50935989453023	0	0
ENSMUSG00000099032.2	-1.48748459492093	-0.219160323656638	0.030969254415258	0	0	0.833841485737439	0.975807897185659	0.125005561998969	0.883260294916107	0	0
ENSMUSG00000025917.9	5.46328542313132	0.879479930675409	0.835574918987748	4.07399594927434	3.35610447834177	0.000363713001617621	0.00178131274937309	136.643823896143	1.59535428400926e-11	1	1
ENSMUSG00000056763.16	5.18869600143486	0.0646730045736046	-0.0247764027818995	0	0	0.999933849614454	0.999972056890769	0.203571476712766	0.817685920554866	0	0
ENSMUSG00000067851.11	7.27667244436107	0.154610486981386	-0.150888470085409	0	0	0.99999279527222	0.999993740436414	4.40321517524608	0.0279580934729333	0	0
ENSMUSG00000088153.1	-1.13667301590727	0.0442554950492602	0.0753149134609197	0	0	0.965085898364723	0.940310578013607	0.0144648780607746	0.985650815394473	0	0
ENSMUSG00000102556.1	0.877570004463081	0.0137577982291519	-0.238776540293132	0	0	0.998868559215544	0.907078887297801	0.443156542304118	0.648903706701767	0	0
ENSMUSG00000083422.1	-3.96461591815156	0.133299875817237	1.95453213375265	0	1.00624682866389	0.933081172054813	0.203210580756531	1.03546537469128	0.375498606406486	0	0
ENSMUSG00000048960.13	9.25967087856308	-0.467587242472511	0.0485885315798917	0	0	0.876425730267967	0.999984861977287	11.4782885835132	0.000628840149094986	0	0
ENSMUSG00000077318.1	-1.05587553174477	0.128846190641599	0.67212434230542	0	0.137137746738938	0.896830107297439	0.477998790136378	0.588495017424119	0.565612554172422	0	0
ENSMUSG00000101827.1	-0.06085042294319	-0.880584599139778	-1.29646040249986	-0.383782247357449	-0.843111225543316	0.389527097368596	0.224633374201808	1.83381268409578	0.188753634376052	0	0
